Date,Integer_Year,Median Bedroom Price,Month,No. of Bedrooms,Year,Zip_Code,Median List Price Calculated,Median Market Value (Single Family),Median List Price per SqFt Calculated
1997-01-28,2,112900.0,1,1,1997,46220,125900.7765,126400.0,70.8443776
1998-01-28,3,118000.0,1,1,1998,46220,141319.0351,151900.0,66.74227881
1999-01-28,4,122400.0,1,1,1999,46220,141325.6325,150600.0,71.36227618
2000-01-28,5,97772.0,1,1,2000,46220,128316.9229,154967.0,45.60135127
2001-01-28,6,96466.0,1,1,2001,46220,132249.9103,155566.0,54.57331125
2002-01-28,7,100138.0,1,1,2002,46220,137066.0456,157666.0,63.09180334
2003-01-28,8,105618.0,1,1,2003,46220,143703.5857,161852.0,72.02176746
2004-01-28,9,108189.0,1,1,2004,46220,150959.0946,167798.0,79.68781703
2005-01-28,10,110849.0,1,1,2005,46220,157637.0733,172555.0,87.92708113
2006-01-28,11,115648.0,1,1,2006,46220,158447.69,171285.0,93.91690237
2007-01-28,12,117072.0,1,1,2007,46220,160871.0049,173447.0,98.15691532
2008-01-28,13,117651.0,1,1,2008,46220,168688.75600000002,178955.0,107.3930612
2009-01-28,14,115945.0,1,1,2009,46220,162833.1399,171996.0,109.2817996
2010-01-28,15,120028.0,1,1,2010,46220,174900.0,180230.0,116.9732441
2011-01-28,16,109523.0,1,1,2011,46220,169900.0,171241.0,121.05855859999998
2012-01-28,17,108035.0,1,1,2012,46220,159900.0,168633.0,114.5740158
2013-01-28,18,107239.0,1,1,2013,46220,169900.0,174381.0,128.6424871
2014-01-28,19,125526.0,1,1,2014,46220,164900.0,190345.0,124.7838617
2015-01-28,20,130720.0,1,1,2015,46220,179900.0,194772.0,129.5781732
2016-01-28,21,129632.0,1,1,2016,46220,195000.0,195857.0,139.7058824
2017-01-28,22,140276.0,1,1,2017,46220,199000.0,206856.0,153.1808036
2018-01-28,23,148395.0,1,1,2018,46220,249950.0,220147.0,165.0488547
2019-01-28,24,171827.0,1,1,2019,46220,239900.0,242754.0,176.47856869999995
1997-01-28,2,116300.0,1,2,1997,46220,125900.7765,126400.0,70.8443776
1998-01-28,3,128600.0,1,2,1998,46220,141319.0351,151900.0,66.74227881
1999-01-28,4,135500.0,1,2,1999,46220,141325.6325,150600.0,71.36227618
2000-01-28,5,123239.0,1,2,2000,46220,128316.9229,154967.0,45.60135127
2001-01-28,6,131068.0,1,2,2001,46220,132249.9103,155566.0,54.57331125
2002-01-28,7,133116.0,1,2,2002,46220,137066.0456,157666.0,63.09180334
2003-01-28,8,138589.0,1,2,2003,46220,143703.5857,161852.0,72.02176746
2004-01-28,9,142203.0,1,2,2004,46220,150959.0946,167798.0,79.68781703
2005-01-28,10,146371.0,1,2,2005,46220,157637.0733,172555.0,87.92708113
2006-01-28,11,150517.0,1,2,2006,46220,158447.69,171285.0,93.91690237
2007-01-28,12,151164.0,1,2,2007,46220,160871.0049,173447.0,98.15691532
2008-01-28,13,153776.0,1,2,2008,46220,168688.75600000002,178955.0,107.3930612
2009-01-28,14,148693.0,1,2,2009,46220,162833.1399,171996.0,109.2817996
2010-01-28,15,156472.0,1,2,2010,46220,174900.0,180230.0,116.9732441
2011-01-28,16,149554.0,1,2,2011,46220,169900.0,171241.0,121.05855859999998
2012-01-28,17,145686.0,1,2,2012,46220,159900.0,168633.0,114.5740158
2013-01-28,18,150360.0,1,2,2013,46220,169900.0,174381.0,128.6424871
2014-01-28,19,165280.0,1,2,2014,46220,164900.0,190345.0,124.7838617
2015-01-28,20,167324.0,1,2,2015,46220,179900.0,194772.0,129.5781732
2016-01-28,21,168624.0,1,2,2016,46220,195000.0,195857.0,139.7058824
2017-01-28,22,179537.0,1,2,2017,46220,199000.0,206856.0,153.1808036
2018-01-28,23,190877.0,1,2,2018,46220,249950.0,220147.0,165.0488547
2019-01-28,24,211965.0,1,2,2019,46220,239900.0,242754.0,176.47856869999995
1997-01-28,2,129200.0,1,3,1997,46220,125900.7765,126400.0,70.8443776
1998-01-28,3,151400.0,1,3,1998,46220,141319.0351,151900.0,66.74227881
1999-01-28,4,150300.0,1,3,1999,46220,141325.6325,150600.0,71.36227618
2000-01-28,5,150033.0,1,3,2000,46220,128316.9229,154967.0,45.60135127
2001-01-28,6,151297.0,1,3,2001,46220,132249.9103,155566.0,54.57331125
2002-01-28,7,153871.0,1,3,2002,46220,137066.0456,157666.0,63.09180334
2003-01-28,8,158415.0,1,3,2003,46220,143703.5857,161852.0,72.02176746
2004-01-28,9,164390.0,1,3,2004,46220,150959.0946,167798.0,79.68781703
2005-01-28,10,169358.0,1,3,2005,46220,157637.0733,172555.0,87.92708113
2006-01-28,11,168482.0,1,3,2006,46220,158447.69,171285.0,93.91690237
2007-01-28,12,170499.0,1,3,2007,46220,160871.0049,173447.0,98.15691532
2008-01-28,13,176298.0,1,3,2008,46220,168688.75600000002,178955.0,107.3930612
2009-01-28,14,169622.0,1,3,2009,46220,162833.1399,171996.0,109.2817996
2010-01-28,15,177431.0,1,3,2010,46220,174900.0,180230.0,116.9732441
2011-01-28,16,169190.0,1,3,2011,46220,169900.0,171241.0,121.05855859999998
2012-01-28,17,166186.0,1,3,2012,46220,159900.0,168633.0,114.5740158
2013-01-28,18,171495.0,1,3,2013,46220,169900.0,174381.0,128.6424871
2014-01-28,19,186571.0,1,3,2014,46220,164900.0,190345.0,124.7838617
2015-01-28,20,189955.0,1,3,2015,46220,179900.0,194772.0,129.5781732
2016-01-28,21,191544.0,1,3,2016,46220,195000.0,195857.0,139.7058824
2017-01-28,22,203287.0,1,3,2017,46220,199000.0,206856.0,153.1808036
2018-01-28,23,215745.0,1,3,2018,46220,249950.0,220147.0,165.0488547
2019-01-28,24,238347.0,1,3,2019,46220,239900.0,242754.0,176.47856869999995
1997-01-28,2,169400.0,1,4,1997,46220,125900.7765,126400.0,70.8443776
1998-01-28,3,183600.0,1,4,1998,46220,141319.0351,151900.0,66.74227881
1999-01-28,4,196000.0,1,4,1999,46220,141325.6325,150600.0,71.36227618
2000-01-28,5,214475.0,1,4,2000,46220,128316.9229,154967.0,45.60135127
2001-01-28,6,225061.0,1,4,2001,46220,132249.9103,155566.0,54.57331125
2002-01-28,7,224727.0,1,4,2002,46220,137066.0456,157666.0,63.09180334
2003-01-28,8,226501.0,1,4,2003,46220,143703.5857,161852.0,72.02176746
2004-01-28,9,235558.0,1,4,2004,46220,150959.0946,167798.0,79.68781703
2005-01-28,10,244713.0,1,4,2005,46220,157637.0733,172555.0,87.92708113
2006-01-28,11,245555.0,1,4,2006,46220,158447.69,171285.0,93.91690237
2007-01-28,12,252311.0,1,4,2007,46220,160871.0049,173447.0,98.15691532
2008-01-28,13,256529.0,1,4,2008,46220,168688.75600000002,178955.0,107.3930612
2009-01-28,14,247280.0,1,4,2009,46220,162833.1399,171996.0,109.2817996
2010-01-28,15,254893.0,1,4,2010,46220,174900.0,180230.0,116.9732441
2011-01-28,16,239697.0,1,4,2011,46220,169900.0,171241.0,121.05855859999998
2012-01-28,17,234245.0,1,4,2012,46220,159900.0,168633.0,114.5740158
2013-01-28,18,243811.0,1,4,2013,46220,169900.0,174381.0,128.6424871
2014-01-28,19,267301.0,1,4,2014,46220,164900.0,190345.0,124.7838617
2015-01-28,20,283035.0,1,4,2015,46220,179900.0,194772.0,129.5781732
2016-01-28,21,284395.0,1,4,2016,46220,195000.0,195857.0,139.7058824
2017-01-28,22,293150.0,1,4,2017,46220,199000.0,206856.0,153.1808036
2018-01-28,23,308852.0,1,4,2018,46220,249950.0,220147.0,165.0488547
2019-01-28,24,330948.0,1,4,2019,46220,239900.0,242754.0,176.47856869999995
1997-01-28,2,251300.0,1,5,1997,46220,125900.7765,126400.0,70.8443776
1998-01-28,3,281300.0,1,5,1998,46220,141319.0351,151900.0,66.74227881
1999-01-28,4,292300.0,1,5,1999,46220,141325.6325,150600.0,71.36227618
2000-01-28,5,258767.0,1,5,2000,46220,128316.9229,154967.0,45.60135127
2001-01-28,6,282407.0,1,5,2001,46220,132249.9103,155566.0,54.57331125
2002-01-28,7,278651.0,1,5,2002,46220,137066.0456,157666.0,63.09180334
2003-01-28,8,279056.0,1,5,2003,46220,143703.5857,161852.0,72.02176746
2004-01-28,9,303457.0,1,5,2004,46220,150959.0946,167798.0,79.68781703
2005-01-28,10,316583.0,1,5,2005,46220,157637.0733,172555.0,87.92708113
2006-01-28,11,328897.0,1,5,2006,46220,158447.69,171285.0,93.91690237
2007-01-28,12,348092.0,1,5,2007,46220,160871.0049,173447.0,98.15691532
2008-01-28,13,351198.0,1,5,2008,46220,168688.75600000002,178955.0,107.3930612
2009-01-28,14,332875.0,1,5,2009,46220,162833.1399,171996.0,109.2817996
2010-01-28,15,356349.0,1,5,2010,46220,174900.0,180230.0,116.9732441
2011-01-28,16,335606.0,1,5,2011,46220,169900.0,171241.0,121.05855859999998
2012-01-28,17,329328.0,1,5,2012,46220,159900.0,168633.0,114.5740158
2013-01-28,18,347394.0,1,5,2013,46220,169900.0,174381.0,128.6424871
2014-01-28,19,381471.0,1,5,2014,46220,164900.0,190345.0,124.7838617
2015-01-28,20,406425.0,1,5,2015,46220,179900.0,194772.0,129.5781732
2016-01-28,21,399398.0,1,5,2016,46220,195000.0,195857.0,139.7058824
2017-01-28,22,408212.0,1,5,2017,46220,199000.0,206856.0,153.1808036
2018-01-28,23,437883.0,1,5,2018,46220,249950.0,220147.0,165.0488547
2019-01-28,24,466430.0,1,5,2019,46220,239900.0,242754.0,176.47856869999995
2000-01-28,5,59871.0,1,1,2000,46219,94404.12871,77085.0,51.52221827
2001-01-28,6,56400.0,1,1,2001,46219,95228.20273,75627.0,62.07665277
2002-01-28,7,58844.0,1,1,2002,46219,97484.66201,78869.0,66.15716264
2003-01-28,8,58209.0,1,1,2003,46219,96124.27192,78983.0,65.84468754
2004-01-28,9,56035.0,1,1,2004,46219,96590.14569,81019.0,66.93742699
2005-01-28,10,56957.0,1,1,2005,46219,97553.48601,82926.0,69.96147132
2006-01-28,11,63307.0,1,1,2006,46219,101559.0582,88653.0,73.85911536
2007-01-28,12,59884.0,1,1,2007,46219,101187.0348,88938.0,76.36975332
2008-01-28,13,58073.0,1,1,2008,46219,98395.15439,87426.0,75.23932738
2009-01-28,14,57063.0,1,1,2009,46219,90950.60943,83197.0,65.35666958
2010-01-28,15,53887.0,1,1,2010,46219,88200.0,83009.0,63.16091954
2011-01-28,16,49741.0,1,1,2011,46219,84958.5,78837.0,65.68991228
2012-01-28,17,42136.0,1,1,2012,46219,75000.0,71432.0,60.06938422
2013-01-28,18,42994.0,1,1,2013,46219,79250.0,73542.0,63.00578035
2014-01-28,19,46478.0,1,1,2014,46219,84500.0,79289.0,62.60717785
2015-01-28,20,50324.0,1,1,2015,46219,85000.0,84284.0,64.7702407
2016-01-28,21,50760.0,1,1,2016,46219,79999.5,86443.0,63.60581704
2017-01-28,22,55647.0,1,1,2017,46219,87950.0,93145.0,68.46915461
2018-01-28,23,61082.0,1,1,2018,46219,99800.0,102850.0,77.32864675
2019-01-28,24,73409.0,1,1,2019,46219,109900.0,117292.0,88.13151564
1997-01-28,2,78600.0,1,2,1997,46219,113452.0762,83300.0,85.7946103
1998-01-28,3,75800.0,1,2,1998,46219,108862.3313,80500.0,81.84722549
1999-01-28,4,83500.0,1,2,1999,46219,112799.7732,89600.0,77.51794812
2000-01-28,5,76201.0,1,2,2000,46219,94404.12871,77085.0,51.52221827
2001-01-28,6,72142.0,1,2,2001,46219,95228.20273,75627.0,62.07665277
2002-01-28,7,75438.0,1,2,2002,46219,97484.66201,78869.0,66.15716264
2003-01-28,8,74959.0,1,2,2003,46219,96124.27192,78983.0,65.84468754
2004-01-28,9,75514.0,1,2,2004,46219,96590.14569,81019.0,66.93742699
2005-01-28,10,75794.0,1,2,2005,46219,97553.48601,82926.0,69.96147132
2006-01-28,11,81252.0,1,2,2006,46219,101559.0582,88653.0,73.85911536
2007-01-28,12,80280.0,1,2,2007,46219,101187.0348,88938.0,76.36975332
2008-01-28,13,79416.0,1,2,2008,46219,98395.15439,87426.0,75.23932738
2009-01-28,14,75180.0,1,2,2009,46219,90950.60943,83197.0,65.35666958
2010-01-28,15,72916.0,1,2,2010,46219,88200.0,83009.0,63.16091954
2011-01-28,16,66142.0,1,2,2011,46219,84958.5,78837.0,65.68991228
2012-01-28,17,57167.0,1,2,2012,46219,75000.0,71432.0,60.06938422
2013-01-28,18,57475.0,1,2,2013,46219,79250.0,73542.0,63.00578035
2014-01-28,19,63760.0,1,2,2014,46219,84500.0,79289.0,62.60717785
2015-01-28,20,67146.0,1,2,2015,46219,85000.0,84284.0,64.7702407
2016-01-28,21,68650.0,1,2,2016,46219,79999.5,86443.0,63.60581704
2017-01-28,22,73682.0,1,2,2017,46219,87950.0,93145.0,68.46915461
2018-01-28,23,80364.0,1,2,2018,46219,99800.0,102850.0,77.32864675
2019-01-28,24,93069.0,1,2,2019,46219,109900.0,117292.0,88.13151564
1997-01-28,2,86400.0,1,3,1997,46219,113452.0762,83300.0,85.7946103
1998-01-28,3,83500.0,1,3,1998,46219,108862.3313,80500.0,81.84722549
1999-01-28,4,91400.0,1,3,1999,46219,112799.7732,89600.0,77.51794812
2000-01-28,5,77234.0,1,3,2000,46219,94404.12871,77085.0,51.52221827
2001-01-28,6,77145.0,1,3,2001,46219,95228.20273,75627.0,62.07665277
2002-01-28,7,80629.0,1,3,2002,46219,97484.66201,78869.0,66.15716264
2003-01-28,8,80782.0,1,3,2003,46219,96124.27192,78983.0,65.84468754
2004-01-28,9,82840.0,1,3,2004,46219,96590.14569,81019.0,66.93742699
2005-01-28,10,84992.0,1,3,2005,46219,97553.48601,82926.0,69.96147132
2006-01-28,11,90720.0,1,3,2006,46219,101559.0582,88653.0,73.85911536
2007-01-28,12,91338.0,1,3,2007,46219,101187.0348,88938.0,76.36975332
2008-01-28,13,89920.0,1,3,2008,46219,98395.15439,87426.0,75.23932738
2009-01-28,14,85068.0,1,3,2009,46219,90950.60943,83197.0,65.35666958
2010-01-28,15,84775.0,1,3,2010,46219,88200.0,83009.0,63.16091954
2011-01-28,16,81438.0,1,3,2011,46219,84958.5,78837.0,65.68991228
2012-01-28,17,74087.0,1,3,2012,46219,75000.0,71432.0,60.06938422
2013-01-28,18,76268.0,1,3,2013,46219,79250.0,73542.0,63.00578035
2014-01-28,19,81434.0,1,3,2014,46219,84500.0,79289.0,62.60717785
2015-01-28,20,86662.0,1,3,2015,46219,85000.0,84284.0,64.7702407
2016-01-28,21,88658.0,1,3,2016,46219,79999.5,86443.0,63.60581704
2017-01-28,22,95096.0,1,3,2017,46219,87950.0,93145.0,68.46915461
2018-01-28,23,105021.0,1,3,2018,46219,99800.0,102850.0,77.32864675
2019-01-28,24,119428.0,1,3,2019,46219,109900.0,117292.0,88.13151564
1997-01-28,2,116300.0,1,4,1997,46219,113452.0762,83300.0,85.7946103
1998-01-28,3,114700.0,1,4,1998,46219,108862.3313,80500.0,81.84722549
1999-01-28,4,113800.0,1,4,1999,46219,112799.7732,89600.0,77.51794812
2000-01-28,5,92556.0,1,4,2000,46219,94404.12871,77085.0,51.52221827
2001-01-28,6,92463.0,1,4,2001,46219,95228.20273,75627.0,62.07665277
2002-01-28,7,98171.0,1,4,2002,46219,97484.66201,78869.0,66.15716264
2003-01-28,8,98003.0,1,4,2003,46219,96124.27192,78983.0,65.84468754
2004-01-28,9,101162.0,1,4,2004,46219,96590.14569,81019.0,66.93742699
2005-01-28,10,104080.0,1,4,2005,46219,97553.48601,82926.0,69.96147132
2006-01-28,11,112964.0,1,4,2006,46219,101559.0582,88653.0,73.85911536
2007-01-28,12,117101.0,1,4,2007,46219,101187.0348,88938.0,76.36975332
2008-01-28,13,116420.0,1,4,2008,46219,98395.15439,87426.0,75.23932738
2009-01-28,14,111419.0,1,4,2009,46219,90950.60943,83197.0,65.35666958
2010-01-28,15,110551.0,1,4,2010,46219,88200.0,83009.0,63.16091954
2011-01-28,16,109081.0,1,4,2011,46219,84958.5,78837.0,65.68991228
2012-01-28,17,98771.0,1,4,2012,46219,75000.0,71432.0,60.06938422
2013-01-28,18,104603.0,1,4,2013,46219,79250.0,73542.0,63.00578035
2014-01-28,19,111574.0,1,4,2014,46219,84500.0,79289.0,62.60717785
2015-01-28,20,115641.0,1,4,2015,46219,85000.0,84284.0,64.7702407
2016-01-28,21,118528.0,1,4,2016,46219,79999.5,86443.0,63.60581704
2017-01-28,22,126142.0,1,4,2017,46219,87950.0,93145.0,68.46915461
2018-01-28,23,136240.0,1,4,2018,46219,99800.0,102850.0,77.32864675
2019-01-28,24,151986.0,1,4,2019,46219,109900.0,117292.0,88.13151564
2001-01-28,6,112306.0,1,5,2001,46219,95228.20273,75627.0,62.07665277
2002-01-28,7,113295.0,1,5,2002,46219,97484.66201,78869.0,66.15716264
2003-01-28,8,113436.0,1,5,2003,46219,96124.27192,78983.0,65.84468754
2004-01-28,9,115257.0,1,5,2004,46219,96590.14569,81019.0,66.93742699
2005-01-28,10,117652.0,1,5,2005,46219,97553.48601,82926.0,69.96147132
2006-01-28,11,123883.0,1,5,2006,46219,101559.0582,88653.0,73.85911536
2007-01-28,12,125661.0,1,5,2007,46219,101187.0348,88938.0,76.36975332
2008-01-28,13,124067.0,1,5,2008,46219,98395.15439,87426.0,75.23932738
2009-01-28,14,118611.0,1,5,2009,46219,90950.60943,83197.0,65.35666958
2010-01-28,15,123076.0,1,5,2010,46219,88200.0,83009.0,63.16091954
2011-01-28,16,119920.0,1,5,2011,46219,84958.5,78837.0,65.68991228
2012-01-28,17,112685.0,1,5,2012,46219,75000.0,71432.0,60.06938422
2013-01-28,18,120741.0,1,5,2013,46219,79250.0,73542.0,63.00578035
2014-01-28,19,129052.0,1,5,2014,46219,84500.0,79289.0,62.60717785
2015-01-28,20,136319.0,1,5,2015,46219,85000.0,84284.0,64.7702407
2016-01-28,21,136896.0,1,5,2016,46219,79999.5,86443.0,63.60581704
2017-01-28,22,147946.0,1,5,2017,46219,87950.0,93145.0,68.46915461
2018-01-28,23,160076.0,1,5,2018,46219,99800.0,102850.0,77.32864675
2019-01-28,24,176286.0,1,5,2019,46219,109900.0,117292.0,88.13151564
1997-01-28,2,71000.0,1,1,1997,46227,103940.4035,86800.0,84.30609563
1998-01-28,3,67400.0,1,1,1998,46227,107682.4409,90900.0,85.59221602
1999-01-28,4,67900.0,1,1,1999,46227,123035.3543,102000.0,87.77550179
2000-01-28,5,54256.0,1,1,2000,46227,91807.00308,83335.0,82.66738913
2001-01-28,6,48873.0,1,1,2001,46227,106101.9015,93692.0,84.53812502
2002-01-28,7,52501.0,1,1,2002,46227,108079.3233,96910.0,86.08709413
2003-01-28,8,51696.0,1,1,2003,46227,105242.6297,97082.0,86.94874539
2004-01-28,9,55666.0,1,1,2004,46227,107572.301,100005.0,87.41119953
2005-01-28,10,57485.0,1,1,2005,46227,112311.787,104173.0,87.60363059
2006-01-28,11,60551.0,1,1,2006,46227,123976.2644,112166.0,87.56294411
2007-01-28,12,60756.0,1,1,2007,46227,125441.361,114326.0,87.42789257
2008-01-28,13,63590.0,1,1,2008,46227,123113.7756,113763.0,86.04170397
2009-01-28,14,59002.0,1,1,2009,46227,116898.6275,109461.0,81.29235979
2010-01-28,15,61266.0,1,1,2010,46227,119000.0,112697.0,79.72405519
2011-01-28,16,62560.0,1,1,2011,46227,109900.0,106563.0,76.33587786
2012-01-28,17,55607.0,1,1,2012,46227,109900.0,104034.0,73.21541377
2013-01-28,18,49412.0,1,1,2013,46227,109900.0,105703.0,76.8433947
2014-01-28,19,58751.0,1,1,2014,46227,109999.0,113788.0,79.44198944
2015-01-28,20,65326.0,1,1,2015,46227,119900.0,118953.0,80.01373626
2016-01-28,21,65249.0,1,1,2016,46227,115000.0,121517.0,81.6535963
2017-01-28,22,70012.0,1,1,2017,46227,125450.0,127447.0,84.84061412
2018-01-28,23,75173.0,1,1,2018,46227,140999.5,139015.0,101.081866
2019-01-28,24,88766.0,1,1,2019,46227,155000.0,153528.0,104.1666667
1997-01-28,2,75900.0,1,2,1997,46227,103940.4035,86800.0,84.30609563
1998-01-28,3,73300.0,1,2,1998,46227,107682.4409,90900.0,85.59221602
1999-01-28,4,77100.0,1,2,1999,46227,123035.3543,102000.0,87.77550179
2000-01-28,5,66183.0,1,2,2000,46227,91807.00308,83335.0,82.66738913
2001-01-28,6,72012.0,1,2,2001,46227,106101.9015,93692.0,84.53812502
2002-01-28,7,74799.0,1,2,2002,46227,108079.3233,96910.0,86.08709413
2003-01-28,8,72949.0,1,2,2003,46227,105242.6297,97082.0,86.94874539
2004-01-28,9,73918.0,1,2,2004,46227,107572.301,100005.0,87.41119953
2005-01-28,10,75554.0,1,2,2005,46227,112311.787,104173.0,87.60363059
2006-01-28,11,78276.0,1,2,2006,46227,123976.2644,112166.0,87.56294411
2007-01-28,12,80858.0,1,2,2007,46227,125441.361,114326.0,87.42789257
2008-01-28,13,83128.0,1,2,2008,46227,123113.7756,113763.0,86.04170397
2009-01-28,14,80907.0,1,2,2009,46227,116898.6275,109461.0,81.29235979
2010-01-28,15,82630.0,1,2,2010,46227,119000.0,112697.0,79.72405519
2011-01-28,16,76695.0,1,2,2011,46227,109900.0,106563.0,76.33587786
2012-01-28,17,74600.0,1,2,2012,46227,109900.0,104034.0,73.21541377
2013-01-28,18,70944.0,1,2,2013,46227,109900.0,105703.0,76.8433947
2014-01-28,19,76894.0,1,2,2014,46227,109999.0,113788.0,79.44198944
2015-01-28,20,82616.0,1,2,2015,46227,119900.0,118953.0,80.01373626
2016-01-28,21,82765.0,1,2,2016,46227,115000.0,121517.0,81.6535963
2017-01-28,22,88654.0,1,2,2017,46227,125450.0,127447.0,84.84061412
2018-01-28,23,96595.0,1,2,2018,46227,140999.5,139015.0,101.081866
2019-01-28,24,109605.0,1,2,2019,46227,155000.0,153528.0,104.1666667
1997-01-28,2,88100.0,1,3,1997,46227,103940.4035,86800.0,84.30609563
1998-01-28,3,92100.0,1,3,1998,46227,107682.4409,90900.0,85.59221602
1999-01-28,4,102100.0,1,3,1999,46227,123035.3543,102000.0,87.77550179
2000-01-28,5,85801.0,1,3,2000,46227,91807.00308,83335.0,82.66738913
2001-01-28,6,95115.0,1,3,2001,46227,106101.9015,93692.0,84.53812502
2002-01-28,7,98444.0,1,3,2002,46227,108079.3233,96910.0,86.08709413
2003-01-28,8,99095.0,1,3,2003,46227,105242.6297,97082.0,86.94874539
2004-01-28,9,101934.0,1,3,2004,46227,107572.301,100005.0,87.41119953
2005-01-28,10,105743.0,1,3,2005,46227,112311.787,104173.0,87.60363059
2006-01-28,11,112667.0,1,3,2006,46227,123976.2644,112166.0,87.56294411
2007-01-28,12,114739.0,1,3,2007,46227,125441.361,114326.0,87.42789257
2008-01-28,13,114273.0,1,3,2008,46227,123113.7756,113763.0,86.04170397
2009-01-28,14,109950.0,1,3,2009,46227,116898.6275,109461.0,81.29235979
2010-01-28,15,112769.0,1,3,2010,46227,119000.0,112697.0,79.72405519
2011-01-28,16,107002.0,1,3,2011,46227,109900.0,106563.0,76.33587786
2012-01-28,17,104337.0,1,3,2012,46227,109900.0,104034.0,73.21541377
2013-01-28,18,106793.0,1,3,2013,46227,109900.0,105703.0,76.8433947
2014-01-28,19,114758.0,1,3,2014,46227,109999.0,113788.0,79.44198944
2015-01-28,20,119713.0,1,3,2015,46227,119900.0,118953.0,80.01373626
2016-01-28,21,122635.0,1,3,2016,46227,115000.0,121517.0,81.6535963
2017-01-28,22,128224.0,1,3,2017,46227,125450.0,127447.0,84.84061412
2018-01-28,23,140089.0,1,3,2018,46227,140999.5,139015.0,101.081866
2019-01-28,24,154537.0,1,3,2019,46227,155000.0,153528.0,104.1666667
1997-01-28,2,123600.0,1,4,1997,46227,103940.4035,86800.0,84.30609563
1998-01-28,3,125400.0,1,4,1998,46227,107682.4409,90900.0,85.59221602
1999-01-28,4,126600.0,1,4,1999,46227,123035.3543,102000.0,87.77550179
2000-01-28,5,120600.0,1,4,2000,46227,91807.00308,83335.0,82.66738913
2001-01-28,6,117816.0,1,4,2001,46227,106101.9015,93692.0,84.53812502
2002-01-28,7,118062.0,1,4,2002,46227,108079.3233,96910.0,86.08709413
2003-01-28,8,118328.0,1,4,2003,46227,105242.6297,97082.0,86.94874539
2004-01-28,9,119721.0,1,4,2004,46227,107572.301,100005.0,87.41119953
2005-01-28,10,123084.0,1,4,2005,46227,112311.787,104173.0,87.60363059
2006-01-28,11,134001.0,1,4,2006,46227,123976.2644,112166.0,87.56294411
2007-01-28,12,136145.0,1,4,2007,46227,125441.361,114326.0,87.42789257
2008-01-28,13,133259.0,1,4,2008,46227,123113.7756,113763.0,86.04170397
2009-01-28,14,129689.0,1,4,2009,46227,116898.6275,109461.0,81.29235979
2010-01-28,15,133628.0,1,4,2010,46227,119000.0,112697.0,79.72405519
2011-01-28,16,127082.0,1,4,2011,46227,109900.0,106563.0,76.33587786
2012-01-28,17,123885.0,1,4,2012,46227,109900.0,104034.0,73.21541377
2013-01-28,18,127913.0,1,4,2013,46227,109900.0,105703.0,76.8433947
2014-01-28,19,135009.0,1,4,2014,46227,109999.0,113788.0,79.44198944
2015-01-28,20,139873.0,1,4,2015,46227,119900.0,118953.0,80.01373626
2016-01-28,21,142988.0,1,4,2016,46227,115000.0,121517.0,81.6535963
2017-01-28,22,149146.0,1,4,2017,46227,125450.0,127447.0,84.84061412
2018-01-28,23,161168.0,1,4,2018,46227,140999.5,139015.0,101.081866
2019-01-28,24,176379.0,1,4,2019,46227,155000.0,153528.0,104.1666667
2001-01-28,6,141362.0,1,5,2001,46227,106101.9015,93692.0,84.53812502
2002-01-28,7,141776.0,1,5,2002,46227,108079.3233,96910.0,86.08709413
2003-01-28,8,141247.0,1,5,2003,46227,105242.6297,97082.0,86.94874539
2004-01-28,9,145577.0,1,5,2004,46227,107572.301,100005.0,87.41119953
2005-01-28,10,150467.0,1,5,2005,46227,112311.787,104173.0,87.60363059
2006-01-28,11,159356.0,1,5,2006,46227,123976.2644,112166.0,87.56294411
2007-01-28,12,162058.0,1,5,2007,46227,125441.361,114326.0,87.42789257
2008-01-28,13,160156.0,1,5,2008,46227,123113.7756,113763.0,86.04170397
2009-01-28,14,159755.0,1,5,2009,46227,116898.6275,109461.0,81.29235979
2010-01-28,15,161391.0,1,5,2010,46227,119000.0,112697.0,79.72405519
2011-01-28,16,153849.0,1,5,2011,46227,109900.0,106563.0,76.33587786
2012-01-28,17,146233.0,1,5,2012,46227,109900.0,104034.0,73.21541377
2013-01-28,18,149710.0,1,5,2013,46227,109900.0,105703.0,76.8433947
2014-01-28,19,156025.0,1,5,2014,46227,109999.0,113788.0,79.44198944
2015-01-28,20,166217.0,1,5,2015,46227,119900.0,118953.0,80.01373626
2016-01-28,21,165546.0,1,5,2016,46227,115000.0,121517.0,81.6535963
2017-01-28,22,171717.0,1,5,2017,46227,125450.0,127447.0,84.84061412
2018-01-28,23,183499.0,1,5,2018,46227,140999.5,139015.0,101.081866
2019-01-28,24,200061.0,1,5,2019,46227,155000.0,153528.0,104.1666667
2011-01-28,16,73251.0,1,1,2011,46214,117375.0,111398.0,70.15007545
2012-01-28,17,64233.0,1,1,2012,46214,119900.0,106406.0,69.63636364
2013-01-28,18,59527.0,1,1,2013,46214,114900.0,106269.0,69.37512389
2014-01-28,19,61900.0,1,1,2014,46214,114900.0,114451.0,71.42038946
2015-01-28,20,60266.0,1,1,2015,46214,115000.0,117962.0,75.37379227
2016-01-28,21,59306.0,1,1,2016,46214,115000.0,120851.0,73.97959184
2017-01-28,22,59224.0,1,1,2017,46214,129900.0,126048.0,74.17582418
2018-01-28,23,64961.0,1,1,2018,46214,135000.0,137297.0,80.28389768
2019-01-28,24,75330.0,1,1,2019,46214,155500.0,154453.0,91.48766905
